away_team,away_team_errors,away_team_hits,away_team_runs,date,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,attendance
New York Mets,1,7,3,6,200.79999999999998,"Night Game, on grass",Kansas City Royals,0,9,4,19, Kauffman Stadium,40030
Philadelphia Phillies,0,5,2,2,156.8,"Night Game, on grass",Cincinnati Reds,0,8,3,19, Great American Ball Park,21621
Minnesota Twins,0,5,2,2,197.6,"Night Game, on grass",Baltimore Orioles,0,9,4,19, Oriole Park at Camden Yards,12622
Washington Nationals,0,8,3,2,204.79999999999998,"Night Game, on grass",Atlanta Braves,1,8,1,19, Turner Field,18531
Colorado Rockies,1,8,4,2,182.4,"Day Game, on grass",Arizona Diamondbacks,0,8,3,12, Chase Field,18572
Seattle Mariners,1,11,10,1,228.0,"Night Game, on grass",Texas Rangers,1,7,2,19, Globe Life Park in Arlington,28386
Toronto Blue Jays,0,9,2,1,191.2,"Night Game, on turf",Tampa Bay Rays,1,7,3,19, Tropicana Field,12757
Los Angeles Dodgers,0,6,3,1,177.6,"Night Game, on grass",San Diego Padres,1,2,0,19, Petco Park,28329
St. Louis Cardinals,1,8,5,1,223.2,"Night Game, on grass",Pittsburgh Pirates,2,12,6,19, PNC Park,26049
Chicago White Sox,0,11,5,1,224.79999999999998,"Night Game, on grass",Oakland Athletics,0,10,4,19, Oakland-Alameda County Coliseum,10478
Houston Astros,0,6,5,1,207.2,"Day Game, on grass",New York Yankees,1,4,3,13, Yankee Stadium III,47820
San Francisco Giants,0,7,2,1,166.4,"Night Game, on grass",Milwaukee Brewers,0,6,1,19, Miller Park,24123
Detroit Tigers,1,12,8,1,255.20000000000002,"Night Game, on grass",Miami Marlins,2,10,7,19, Marlins Park,36911
Texas Rangers,0,14,7,0,180.0,"Night Game, on grass",Seattle Mariners,0,7,3,19, Safeco Field,13468
San Diego Padres,0,6,4,0,201.6,"Day Game, on grass",Philadelphia Phillies,0,8,3,15, Citizens Bank Park,45229
Los Angeles Angels of Anaheim,0,9,4,0,188.0,"Night Game, on grass",Oakland Athletics,0,10,1,19, Oakland-Alameda County Coliseum,13371
Miami Marlins,1,15,10,0,252.0,"Night Game, on grass",New York Mets,0,7,3,19, Citi Field,24318
Chicago White Sox,0,9,4,0,188.0,"Day Game, on grass",Minnesota Twins,1,6,1,15, Target Field,40638
Kansas City Royals,0,11,2,0,214.39999999999998,"Night Game, on grass",Houston Astros,0,14,8,19, Minute Maid Park,43332
Pittsburgh Pirates,1,17,7,0,207.2,"Day Game, on grass",Detroit Tigers,0,6,4,13, Comerica Park,26271
Cincinnati Reds,1,7,3,0,184.79999999999998,"Night Game, on grass",Chicago Cubs,0,3,5,19, Wrigley Field,40882
Kansas City Royals,0,13,6,3,185.60000000000002,"Night Game, on grass",Houston Astros,0,5,2,19, Minute Maid Park,21203
San Francisco Giants,1,9,6,3,221.6,"Day Game, on grass",Colorado Rockies,3,13,11,13, Coors Field,21226
Cincinnati Reds,2,6,1,3,191.2,"Night Game, on grass",Chicago Cubs,0,11,8,19, Wrigley Field,34898
Atlanta Braves,0,5,0,2,139.2,"Night Game, on grass",Washington Nationals,0,4,3,19, Nationals Park,19400
New York Yankees,1,8,2,2,188.8,"Night Game, on turf",Toronto Blue Jays,0,10,7,19, Rogers Centre,27938
Toronto Blue Jays,0,8,4,1,200.0,"Night Game, on grass",Baltimore Orioles,1,7,3,19, Oriole Park at Camden Yards,16783
Los Angeles Dodgers,3,5,1,1,211.2,"Night Game, on grass",Atlanta Braves,0,10,8,19, Turner Field,14160
Chicago Cubs,0,9,5,0,171.2,"Night Game, on grass",St. Louis Cardinals,1,5,0,19, Busch Stadium III,45432
Arizona Diamondbacks,0,16,9,0,296.0,"Night Game, on grass",San Francisco Giants,0,13,7,19, AT&T Park,41432
New York Mets,0,10,5,0,201.6,"Night Game, on grass",Philadelphia Phillies,0,7,2,19, Citizens Bank Park,21585
Milwaukee Brewers,1,6,4,0,153.6,"Night Game, on grass",Minnesota Twins,1,14,7,19, Target Field,21078
Washington Nationals,1,6,1,0,188.8,"Night Game, on grass",Miami Marlins,0,10,6,19, Marlins Park,16112
Colorado Rockies,1,7,5,0,185.60000000000002,"Night Game, on grass",Cincinnati Reds,0,4,1,19, Great American Ball Park,12777
Los Angeles Angels of Anaheim,0,13,7,0,212.8,"Night Game, on grass",Chicago White Sox,1,3,0,19, U.S. Cellular Field,14706
Toronto Blue Jays,0,8,4,0,199.20000000000002,"Day Game, on grass",Boston Red Sox,1,7,3,11, Fenway Park,37168
Chicago White Sox,1,5,2,6,177.6,"Day Game, on turf",Tampa Bay Rays,0,8,3,13, Tropicana Field,21810
Cincinnati Reds,1,8,3,6,190.4,"Day Game, on grass",St. Louis Cardinals,2,7,4,13, Busch Stadium III,46268
Chicago Cubs,0,18,16,3,209.6,"Night Game, on grass",Cincinnati Reds,1,0,0,19, Great American Ball Park,16497
Chicago White Sox,0,11,7,0,218.4,"Night Game, on turf",Toronto Blue Jays,0,14,5,19, Rogers Centre,24333
New York Yankees,1,10,3,0,193.6,"Night Game, on grass",Texas Rangers,0,3,1,19, Globe Life Park in Arlington,31453
Baltimore Orioles,0,5,0,0,179.20000000000002,"Night Game, on turf",Tampa Bay Rays,0,5,2,19, Tropicana Field,12996
San Diego Padres,0,11,4,0,255.20000000000002,"Night Game, on grass",San Francisco Giants,0,12,5,19, AT&T Park,41266
Houston Astros,0,10,2,0,184.0,"Night Game, on grass",Seattle Mariners,0,4,3,19, Safeco Field,14832
Cincinnati Reds,0,8,3,0,197.6,"Night Game, on grass",New York Mets,1,10,5,19, Citi Field,30250
Cleveland Indians,0,12,3,0,218.4,"Night Game, on grass",Minnesota Twins,1,5,4,19, Target Field,17503
Miami Marlins,1,8,3,0,201.6,"Night Game, on grass",Los Angeles Dodgers,0,7,2,19, Dodger Stadium,44954
Oakland Athletics,0,10,3,0,182.4,"Night Game, on grass",Detroit Tigers,2,12,7,19, Comerica Park,21671
Pittsburgh Pirates,0,9,6,0,214.39999999999998,"Night Game, on grass",Colorado Rockies,0,9,1,18, Coors Field,20674
Boston Red Sox,0,6,1,0,208.0,"Night Game, on grass",Atlanta Braves,2,4,0,19, Turner Field,22735
St. Louis Cardinals,1,11,7,0,221.6,"Night Game, on grass",Arizona Diamondbacks,0,18,12,18, Chase Field,18208
San Diego Padres,1,9,9,2,213.6,"Day Game, on grass",San Francisco Giants,0,16,13,12, AT&T Park,41357
Toronto Blue Jays,0,5,5,6,174.39999999999998,"Day Game, on turf",Tampa Bay Rays,1,4,1,13, Tropicana Field,27217
Washington Nationals,0,11,6,6,195.20000000000002,"Day Game, on grass",St. Louis Cardinals,0,6,1,13, Busch Stadium III,42933
Kansas City Royals,0,11,4,6,202.4,"Day Game, on grass",Seattle Mariners,1,8,1,13, Safeco Field,37053
Cincinnati Reds,0,8,6,6,247.2,"Day Game, on grass",Pittsburgh Pirates,4,9,5,13, PNC Park,28755
Cleveland Indians,0,4,1,6,184.0,"Day Game, on grass",Philadelphia Phillies,2,4,2,14, Citizens Bank Park,23809
Houston Astros,0,2,2,6,200.0,"Day Game, on grass",Oakland Athletics,0,8,1,13, Oakland-Alameda County Coliseum,24135
San Francisco Giants,0,8,6,6,210.4,"Day Game, on grass",New York Mets,0,10,1,13, Citi Field,39077
Detroit Tigers,0,14,6,6,232.8,"Day Game, on grass",Minnesota Twins,0,11,5,13, Target Field,24749
Miami Marlins,1,16,5,6,213.6,"Day Game, on grass",Milwaukee Brewers,0,18,14,13, Miller Park,28181
San Diego Padres,1,3,0,6,131.2,"Day Game, on grass",Los Angeles Dodgers,0,3,1,13, Dodger Stadium,49271
Atlanta Braves,1,5,4,6,186.4,"Day Game, on grass",Chicago Cubs,1,6,3,13, Wrigley Field,40164
New York Yankees,2,9,7,6,207.2,"Night Game, on grass",Boston Red Sox,0,14,8,20, Fenway Park,34279
Philadelphia Phillies,0,5,1,1,169.6,"Night Game, on grass",St. Louis Cardinals,0,3,0,19, Busch Stadium III,40087
Pittsburgh Pirates,0,11,4,5,216.8,"Day Game, on grass",St. Louis Cardinals,1,9,6,13, Busch Stadium III,42338
Colorado Rockies,0,12,1,5,272.0,"Day Game, on grass",San Francisco Giants,0,7,2,13, AT&T Park,41590
New York Mets,0,9,6,5,203.2,"Night Game, on grass",San Diego Padres,0,8,3,17, Petco Park,41028
Boston Red Sox,0,6,2,5,194.39999999999998,"Day Game, on grass",New York Yankees,1,11,8,13, Yankee Stadium III,47822
Philadelphia Phillies,0,5,4,5,212.0,"Night Game, on grass",Miami Marlins,1,10,3,19, Marlins Park,21719
Seattle Mariners,0,11,3,5,223.2,"Night Game, on grass",Houston Astros,1,8,2,18, Minute Maid Park,31559
Texas Rangers,0,10,10,5,202.4,"Day Game, on grass",Detroit Tigers,0,11,5,13, Comerica Park,35551
Kansas City Royals,0,12,7,5,185.60000000000002,"Day Game, on grass",Cleveland Indians,0,6,0,16, Progressive Field,17302
Milwaukee Brewers,2,15,13,5,240.79999999999998,"Night Game, on grass",Cincinnati Reds,3,11,7,19, Great American Ball Park,27567
Washington Nationals,0,6,5,5,231.2,"Day Game, on grass",Chicago Cubs,1,11,8,15, Wrigley Field,40471
Minnesota Twins,0,4,2,5,212.8,"Night Game, on grass",Chicago White Sox,0,13,7,18, U.S. Cellular Field,28049
Oakland Athletics,1,9,2,5,171.2,"Night Game, on grass",Baltimore Orioles,0,8,5,19, Oriole Park at Camden Yards,29862
Tampa Bay Rays,1,4,2,0,188.0,"Night Game, on grass",Seattle Mariners,0,9,5,19, Safeco Field,15230
Oakland Athletics,1,11,6,4,191.2,"Night Game, on turf",Tampa Bay Rays,0,5,3,19, Tropicana Field,14604
Los Angeles Angels of Anaheim,0,13,7,4,245.60000000000002,"Night Game, on grass",Seattle Mariners,0,10,6,19, Safeco Field,34579
Cincinnati Reds,0,4,2,4,179.20000000000002,"Night Game, on grass",Philadelphia Phillies,1,7,3,19, Citizens Bank Park,22230
Chicago White Sox,0,9,7,4,192.0,"Night Game, on grass",New York Yankees,0,6,1,19, Yankee Stadium III,34264
San Diego Padres,0,3,0,4,209.6,"Night Game, on grass",Milwaukee Brewers,2,7,1,19, Miller Park,35291
St. Louis Cardinals,4,9,4,4,181.6,"Night Game, on grass",Los Angeles Dodgers,1,11,8,19, Dodger Stadium,46716
Atlanta Braves,2,7,1,4,192.0,"Night Game, on grass",Kansas City Royals,1,7,5,19, Kauffman Stadium,33132
New York Mets,0,6,2,4,196.8,"Night Game, on grass",Colorado Rockies,0,12,5,18, Coors Field,38712
Minnesota Twins,1,8,6,4,191.2,"Night Game, on grass",Cleveland Indians,2,8,7,19, Progressive Field,17803
Pittsburgh Pirates,0,11,4,4,208.0,"Day Game, on grass",Chicago Cubs,1,11,9,13, Wrigley Field,37479
Houston Astros,0,13,7,4,258.4,"Night Game, on grass",Boston Red Sox,0,11,6,19, Fenway Park,33148
Detroit Tigers,0,6,0,4,182.4,"Night Game, on grass",Baltimore Orioles,0,4,1,19, Oriole Park at Camden Yards,30488
Cincinnati Reds,1,14,9,6,263.2,"Day Game, on grass",Philadelphia Phillies,2,12,4,13, Citizens Bank Park,27869
Atlanta Braves,0,8,7,4,180.0,"Night Game, on grass",Philadelphia Phillies,2,6,1,19, Citizens Bank Park,27257
New York Yankees,1,13,8,4,200.79999999999998,"Night Game, on grass",Oakland Athletics,3,6,3,18, Oakland-Alameda County Coliseum,28235
Milwaukee Brewers,0,3,2,4,169.6,"Night Game, on grass",New York Mets,0,7,3,19, Citi Field,36239
Toronto Blue Jays,2,14,9,4,196.8,"Night Game, on grass",Minnesota Twins,0,10,3,19, Target Field,29396
Washington Nationals,0,8,4,4,204.79999999999998,"Night Game, on grass",Miami Marlins,0,9,1,19, Marlins Park,20017
Texas Rangers,0,5,2,4,172.8,"Night Game, on grass",Houston Astros,0,6,1,19, Minute Maid Park,28724
Tampa Bay Rays,2,8,7,4,221.6,"Night Game, on grass",Detroit Tigers,1,11,5,19, Comerica Park,30304
Seattle Mariners,0,10,8,4,196.0,"Night Game, on grass",Cincinnati Reds,0,8,3,19, Great American Ball Park,20435
Kansas City Royals,1,12,4,4,214.39999999999998,"Night Game, on grass",Chicago White Sox,1,6,1,19, U.S. Cellular Field,24020
Cleveland Indians,1,8,4,4,191.2,"Night Game, on grass",Boston Red Sox,1,6,2,19, Fenway Park,37354
Baltimore Orioles,1,14,9,4,212.0,"Night Game, on grass",Los Angeles Angels of Anaheim,1,7,4,19, Angel Stadium of Anaheim,40987
Colorado Rockies,0,9,7,3,205.60000000000002,"Night Game, on grass",St. Louis Cardinals,0,12,13,18, Busch Stadium III,43683
Baltimore Orioles,1,5,2,6,172.8,"Day Game, on grass",Los Angeles Angels of Anaheim,0,13,10,12, Angel Stadium of Anaheim,41280
St. Louis Cardinals,0,6,1,3,163.2,"Night Game, on grass",Washington Nationals,1,7,2,19, Nationals Park,26176
Miami Marlins,0,15,9,3,201.6,"Day Game, on turf",Tampa Bay Rays,1,7,1,13, Tropicana Field,11399
Arizona Diamondbacks,1,13,3,3,244.0,"Day Game, on grass",Pittsburgh Pirates,1,12,8,12, PNC Park,30861
Toronto Blue Jays,0,6,3,3,174.39999999999998,"Day Game, on grass",New York Yankees,1,4,1,16, Yankee Stadium III,38391
Baltimore Orioles,1,5,2,3,184.79999999999998,"Night Game, on grass",Houston Astros,1,6,4,19, Minute Maid Park,23826
Colorado Rockies,0,12,8,3,201.6,"Night Game, on grass",Boston Red Sox,1,6,2,19, Fenway Park,36162
Milwaukee Brewers,0,10,6,3,188.0,"Night Game, on grass",Atlanta Braves,0,8,2,19, Turner Field,14885
New York Mets,0,5,2,2,180.79999999999998,"Day Game, on grass",Washington Nationals,2,6,0,13, Nationals Park,38700
Los Angeles Angels of Anaheim,2,14,9,2,234.39999999999998,"Day Game, on grass",Texas Rangers,0,18,15,13, Globe Life Park in Arlington,32480
Miami Marlins,0,13,4,2,215.20000000000002,"Night Game, on turf",Tampa Bay Rays,2,9,3,19, Tropicana Field,13554
Chicago Cubs,1,10,9,2,240.79999999999998,"Day Game, on grass",St. Louis Cardinals,1,13,8,12, Busch Stadium III,45565
San Diego Padres,1,9,3,2,215.20000000000002,"Day Game, on grass",San Francisco Giants,0,10,4,12, AT&T Park,41363
Houston Astros,2,14,8,6,331.20000000000005,"Day Game, on grass",Los Angeles Angels of Anaheim,1,12,6,12, Angel Stadium of Anaheim,36538
Arizona Diamondbacks,1,7,3,3,177.6,"Day Game, on grass",Houston Astros,0,5,0,13, Minute Maid Park,21764
New York Yankees,1,8,5,3,209.6,"Night Game, on grass",Detroit Tigers,0,11,4,19, Comerica Park,28213
Cincinnati Reds,0,14,11,3,190.4,"Night Game, on grass",Colorado Rockies,1,5,4,18, Coors Field,28080
Kansas City Royals,3,12,4,3,206.4,"Night Game, on grass",Cleveland Indians,1,11,5,19, Progressive Field,11131
Los Angeles Dodgers,1,3,2,3,160.0,"Day Game, on grass",Chicago Cubs,0,10,7,13, Wrigley Field,37422
Boston Red Sox,0,12,7,3,211.2,"Night Game, on grass",Baltimore Orioles,1,11,12,19, Oriole Park at Camden Yards,21534
San Francisco Giants,1,8,6,3,198.4,"Day Game, on grass",Atlanta Braves,1,4,0,12, Turner Field,15983
New York Yankees,2,7,0,2,211.2,"Night Game, on turf",Toronto Blue Jays,1,12,7,19, Rogers Centre,39512
Seattle Mariners,2,14,6,2,212.0,"Night Game, on grass",San Diego Padres,1,19,14,19, Petco Park,20557
Washington Nationals,0,12,7,2,192.0,"Night Game, on grass",Philadelphia Phillies,1,6,2,19, Citizens Bank Park,19052
Minnesota Twins,0,6,1,2,172.8,"Day Game, on grass",Oakland Athletics,0,11,5,12, Oakland-Alameda County Coliseum,11345
Chicago White Sox,0,7,2,2,305.6,"Day Game, on grass",New York Mets,0,7,1,13, Citi Field,34160
San Francisco Giants,0,6,4,5,182.4,"Night Game, on grass",St. Louis Cardinals,1,12,7,18, Busch Stadium III,45453
Baltimore Orioles,0,11,6,3,199.20000000000002,"Night Game, on turf",Toronto Blue Jays,0,8,5,19, Rogers Centre,41448
Houston Astros,0,7,3,3,201.6,"Day Game, on grass",Texas Rangers,1,8,5,13, Globe Life Park in Arlington,30145
Cleveland Indians,0,7,5,3,242.4,"Night Game, on grass",Seattle Mariners,1,13,3,19, Safeco Field,19901
Los Angeles Angels of Anaheim,0,8,3,3,212.8,"Night Game, on grass",New York Yankees,1,11,6,19, Yankee Stadium III,34971
Miami Marlins,0,18,10,3,186.4,"Night Game, on grass",Minnesota Twins,2,7,3,19, Target Field,18792
New York Mets,1,13,5,3,186.4,"Night Game, on grass",Milwaukee Brewers,0,10,2,19, Miller Park,22980
Pittsburgh Pirates,0,7,5,3,204.79999999999998,"Day Game, on grass",Colorado Rockies,3,14,11,15, Coors Field,24678
St. Louis Cardinals,0,8,3,3,209.6,"Night Game, on grass",Cincinnati Reds,0,4,2,19, Great American Ball Park,24516
Washington Nationals,0,5,1,3,153.6,"Night Game, on grass",Chicago White Sox,0,5,3,19, U.S. Cellular Field,20014
Houston Astros,1,7,3,2,198.4,"Night Game, on grass",Texas Rangers,1,10,1,19, Globe Life Park in Arlington,37696
Boston Red Sox,0,5,1,2,192.0,"Night Game, on grass",San Francisco Giants,1,3,2,19, AT&T Park,41635
Cleveland Indians,0,3,0,2,185.60000000000002,"Night Game, on grass",Seattle Mariners,0,7,5,19, Safeco Field,15337
Chicago Cubs,4,16,13,6,247.2,"Day Game, on grass",Atlanta Braves,1,7,2,13, Turner Field,31625
Detroit Tigers,0,13,10,3,204.0,"Night Game, on grass",Kansas City Royals,0,10,4,19, Kauffman Stadium,33568
Baltimore Orioles,0,11,5,3,204.79999999999998,"Night Game, on grass",Boston Red Sox,0,4,1,19, Fenway Park,36757
Cincinnati Reds,1,8,2,3,209.6,"Day Game, on grass",Atlanta Braves,0,9,7,12, Turner Field,21885
Chicago Cubs,0,11,4,2,267.2,"Day Game, on grass",Washington Nationals,0,9,5,16, Nationals Park,42000
Seattle Mariners,2,8,2,2,300.8,"Night Game, on turf",Tampa Bay Rays,0,8,3,19, Tropicana Field,12239
Houston Astros,0,9,4,2,209.6,"Night Game, on grass",St. Louis Cardinals,0,8,1,18, Busch Stadium III,42008
Milwaukee Brewers,4,8,1,2,209.6,"Day Game, on grass",San Francisco Giants,0,16,10,12, AT&T Park,41811
Miami Marlins,0,9,3,2,212.8,"Day Game, on grass",San Diego Padres,0,13,6,12, Petco Park,20037
Toronto Blue Jays,0,9,7,2,201.6,"Night Game, on grass",Philadelphia Phillies,0,6,2,19, Citizens Bank Park,24753
Texas Rangers,2,10,7,2,192.8,"Night Game, on grass",Oakland Athletics,0,7,5,19, Oakland-Alameda County Coliseum,10115
Pittsburgh Pirates,0,5,2,2,189.6,"Night Game, on grass",New York Mets,1,19,11,19, Citi Field,32117
Cleveland Indians,3,5,4,2,195.20000000000002,"Night Game, on grass",Kansas City Royals,2,10,9,19, Kauffman Stadium,33546
Los Angeles Angels of Anaheim,0,13,7,5,188.0,"Day Game, on grass",Oakland Athletics,2,5,1,13, Oakland-Alameda County Coliseum,25078
Colorado Rockies,1,9,8,2,220.0,"Day Game, on grass",New York Yankees,1,10,9,13, Yankee Stadium III,40104
Philadelphia Phillies,1,9,5,2,196.8,"Night Game, on grass",Minnesota Twins,1,13,6,20, Target Field,25032
Atlanta Braves,0,6,0,2,163.2,"Day Game, on grass",Miami Marlins,0,9,3,12, Marlins Park,22642
Washington Nationals,1,11,3,2,236.0,"Night Game, on grass",Los Angeles Dodgers,0,9,4,19, Dodger Stadium,43776
Los Angeles Angels of Anaheim,0,10,2,2,194.39999999999998,"Day Game, on grass",Houston Astros,0,8,3,13, Minute Maid Park,29649
Seattle Mariners,0,3,1,2,182.4,"Night Game, on grass",Detroit Tigers,0,12,5,19, Comerica Park,31497
Tampa Bay Rays,0,3,1,2,168.0,"Night Game, on grass",Cleveland Indians,1,9,6,19, Progressive Field,21216
St. Louis Cardinals,0,9,7,2,183.2,"Day Game, on grass",Chicago Cubs,1,3,2,13, Wrigley Field,41058
Chicago White Sox,0,10,8,2,240.79999999999998,"Night Game, on grass",Boston Red Sox,1,13,6,19, Fenway Park,37413
San Diego Padres,1,5,2,2,188.8,"Night Game, on grass",Baltimore Orioles,0,11,7,19, Oriole Park at Camden Yards,23785
Arizona Diamondbacks,0,3,4,1,187.2,"Night Game, on turf",Toronto Blue Jays,0,9,2,19, Rogers Centre,41838
Cincinnati Reds,0,11,8,1,166.4,"Night Game, on grass",Texas Rangers,0,6,2,19, Globe Life Park in Arlington,32291
Tampa Bay Rays,1,14,6,5,204.0,"Night Game, on grass",Baltimore Orioles,0,14,8,19, Oriole Park at Camden Yards,33040
Kansas City Royals,0,14,3,2,284.8,"Night Game, on grass",St. Louis Cardinals,3,10,2,19, Busch Stadium III,44840
Pittsburgh Pirates,0,11,8,2,195.20000000000002,"Night Game, on grass",Seattle Mariners,3,6,1,19, Safeco Field,25477
Baltimore Orioles,0,12,12,2,191.2,"Day Game, on grass",San Diego Padres,1,8,6,12, Petco Park,25221
San Francisco Giants,2,8,1,2,190.4,"Night Game, on grass",Oakland Athletics,0,7,7,19, Oakland-Alameda County Coliseum,32810
Texas Rangers,1,9,7,2,210.4,"Night Game, on grass",New York Yankees,2,10,9,19, Yankee Stadium III,39875
Los Angeles Dodgers,1,2,0,2,168.0,"Night Game, on grass",Milwaukee Brewers,0,12,7,19, Miller Park,26566
Miami Marlins,0,14,3,2,200.79999999999998,"Day Game, on grass",Detroit Tigers,0,15,10,13, Comerica Park,31760
Toronto Blue Jays,0,11,5,2,207.2,"Day Game, on grass",Colorado Rockies,1,9,3,13, Coors Field,38412
Chicago Cubs,0,12,9,2,202.4,"Day Game, on grass",Cincinnati Reds,0,9,2,12, Great American Ball Park,37188
Minnesota Twins,1,11,6,2,184.79999999999998,"Night Game, on grass",Chicago White Sox,1,13,9,19, U.S. Cellular Field,18571
Cleveland Indians,0,8,3,2,201.6,"Night Game, on grass",Atlanta Braves,1,7,0,19, Turner Field,16600
Philadelphia Phillies,2,17,9,2,264.79999999999995,"Day Game, on grass",Arizona Diamondbacks,1,15,8,12, Chase Field,18603
Colorado Rockies,1,5,1,5,197.6,"Night Game, on grass",Los Angeles Dodgers,0,10,6,19, Dodger Stadium,46608
Oakland Athletics,0,2,0,2,190.4,"Day Game, on grass",Minnesota Twins,1,10,4,12, Target Field,27657
Baltimore Orioles,0,13,6,2,341.59999999999997,"Day Game, on grass",Los Angeles Dodgers,0,16,4,12, Dodger Stadium,40899
Seattle Mariners,3,10,8,2,231.2,"Night Game, on grass",Houston Astros,0,12,9,19, Minute Maid Park,25709
Detroit Tigers,1,12,12,2,200.79999999999998,"Day Game, on grass",Cleveland Indians,1,7,2,12, Progressive Field,24098
Cincinnati Reds,0,8,5,2,209.6,"Day Game, on grass",Chicago Cubs,0,8,3,13, Wrigley Field,41262
New York Yankees,0,8,0,2,206.4,"Night Game, on grass",Chicago White Sox,0,5,5,19, U.S. Cellular Field,21144
Texas Rangers,3,10,6,2,210.4,"Night Game, on grass",Boston Red Sox,1,10,11,19, Fenway Park,37175
San Diego Padres,0,14,13,2,196.0,"Night Game, on grass",Arizona Diamondbacks,0,12,6,18, Chase Field,17091
Milwaukee Brewers,0,10,5,1,203.2,"Night Game, on grass",Washington Nationals,1,12,2,19, Nationals Park,25138
Kansas City Royals,1,7,3,1,171.2,"Night Game, on turf",Toronto Blue Jays,0,13,8,19, Rogers Centre,35917
Los Angeles Angels of Anaheim,2,16,13,1,210.4,"Night Game, on turf",Tampa Bay Rays,1,14,5,19, Tropicana Field,14896
Pittsburgh Pirates,1,11,5,1,191.2,"Night Game, on grass",St. Louis Cardinals,1,6,2,19, Busch Stadium III,41444
Los Angeles Angels of Anaheim,0,8,2,5,202.4,"Day Game, on grass",Baltimore Orioles,0,10,3,16, Oriole Park at Camden Yards,43288
Pittsburgh Pirates,1,6,0,5,177.6,"Night Game, on grass",Washington Nationals,0,10,6,20, Nationals Park,38861
Baltimore Orioles,0,7,2,5,172.8,"Night Game, on turf",Tampa Bay Rays,0,4,1,18, Tropicana Field,18638
Miami Marlins,0,3,0,5,182.4,"Night Game, on grass",St. Louis Cardinals,0,8,5,18, Busch Stadium III,44840
Houston Astros,0,4,0,5,193.6,"Day Game, on grass",Seattle Mariners,0,5,1,13, Safeco Field,41386
San Francisco Giants,2,14,6,5,248.0,"Night Game, on grass",San Diego Padres,0,10,7,17, Petco Park,40550
New York Mets,1,6,2,5,197.6,"Night Game, on grass",Philadelphia Phillies,0,10,4,19, Citizens Bank Park,37324
Toronto Blue Jays,0,7,4,5,185.60000000000002,"Day Game, on grass",Oakland Athletics,1,6,5,13, Oakland-Alameda County Coliseum,27510
Boston Red Sox,0,10,5,5,209.6,"Day Game, on grass",New York Yankees,2,5,2,16, Yankee Stadium III,48329
Cleveland Indians,3,9,4,5,260.0,"Night Game, on grass",Minnesota Twins,2,10,5,18, Target Field,29447
Kansas City Royals,0,11,8,5,205.60000000000002,"Night Game, on grass",Detroit Tigers,0,7,4,19, Comerica Park,39594
Milwaukee Brewers,0,12,9,5,184.79999999999998,"Night Game, on grass",Cincinnati Reds,0,9,1,19, Great American Ball Park,31328
Texas Rangers,1,3,1,5,195.20000000000002,"Day Game, on grass",Chicago Cubs,0,4,3,13, Wrigley Field,41346
Cleveland Indians,0,12,7,1,193.6,"Night Game, on grass",Kansas City Royals,0,8,3,19, Kauffman Stadium,31144
Atlanta Braves,1,5,2,6,209.6,"Day Game, on grass",Colorado Rockies,1,11,7,14, Coors Field,34695
Arizona Diamondbacks,0,13,9,6,231.2,"Day Game, on grass",Cincinnati Reds,1,11,8,13, Great American Ball Park,25304
Detroit Tigers,0,8,4,6,180.0,"Day Game, on grass",Chicago White Sox,0,12,5,14, U.S. Cellular Field,30281
Minnesota Twins,1,9,7,6,204.0,"Day Game, on grass",Boston Red Sox,1,10,8,13, Fenway Park,36806
Cleveland Indians,1,7,3,6,193.6,"Day Game, on grass",Baltimore Orioles,1,7,5,13, Oriole Park at Camden Yards,37821
San Diego Padres,1,6,2,5,181.6,"Night Game, on grass",Washington Nationals,0,8,3,19, Nationals Park,30747
Seattle Mariners,0,19,14,5,208.8,"Day Game, on turf",Toronto Blue Jays,0,8,5,13, Rogers Centre,47517
Los Angeles Dodgers,1,13,7,5,209.6,"Night Game, on grass",St. Louis Cardinals,1,6,2,18, Busch Stadium III,45477
Philadelphia Phillies,0,12,4,5,236.0,"Day Game, on grass",Pittsburgh Pirates,2,8,7,16, PNC Park,35802
Tampa Bay Rays,1,9,3,5,155.20000000000002,"Night Game, on grass",Oakland Athletics,0,8,4,18, Oakland-Alameda County Coliseum,30436
San Francisco Giants,2,9,2,5,280.0,"Day Game, on grass",New York Yankees,0,9,1,16, Yankee Stadium III,46727
Chicago Cubs,1,6,1,5,209.6,"Night Game, on grass",Milwaukee Brewers,0,8,6,18, Miller Park,44643
Washington Nationals,0,8,3,5,226.4,"Day Game, on grass",San Francisco Giants,0,8,5,13, AT&T Park,41743
Cincinnati Reds,1,5,1,5,190.4,"Night Game, on grass",San Diego Padres,0,6,2,17, Petco Park,31620
Colorado Rockies,0,9,7,5,194.39999999999998,"Night Game, on grass",New York Mets,3,6,2,19, Citi Field,42207
Chicago White Sox,3,15,6,5,216.8,"Night Game, on grass",Minnesota Twins,1,8,5,18, Target Field,27914
Pittsburgh Pirates,0,8,3,5,210.4,"Night Game, on grass",Milwaukee Brewers,1,12,5,18, Miller Park,36663
St. Louis Cardinals,1,6,0,5,183.2,"Night Game, on grass",Miami Marlins,1,12,11,19, Marlins Park,25011
