away_team,away_team_errors,away_team_hits,away_team_runs,date,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,attendance
Oakland Athletics,0,10,3,5,203.2,"Day Game, on grass",Houston Astros,0,6,2,15, Minute Maid Park,35312
Philadelphia Phillies,0,13,3,5,192.0,"Night Game, on grass",Colorado Rockies,1,10,8,18, Coors Field,48105
New York Yankees,0,14,7,5,268.79999999999995,"Day Game, on grass",Cleveland Indians,2,11,6,16, Progressive Field,32951
Atlanta Braves,2,8,4,5,196.8,"Day Game, on grass",Chicago White Sox,0,11,5,13, U.S. Cellular Field,23888
Tampa Bay Rays,1,7,1,5,188.8,"Day Game, on grass",Boston Red Sox,1,8,4,16, Fenway Park,36900
Detroit Tigers,0,7,0,4,191.2,"Night Game, on turf",Toronto Blue Jays,0,13,6,19, Rogers Centre,43228
Minnesota Twins,1,7,5,4,202.4,"Night Game, on grass",Texas Rangers,0,10,6,19, Globe Life Park in Arlington,40330
Arizona Diamondbacks,1,7,2,4,223.2,"Night Game, on grass",San Francisco Giants,0,8,6,19, AT&T Park,41576
Chicago Cubs,2,6,4,4,216.8,"Night Game, on grass",Pittsburgh Pirates,2,10,8,19, PNC Park,35904
Washington Nationals,0,4,3,4,207.2,"Night Game, on grass",New York Mets,1,4,1,19, Citi Field,35030
St. Louis Cardinals,1,8,3,4,188.0,"Night Game, on grass",Milwaukee Brewers,2,6,4,19, Miller Park,28343
Cincinnati Reds,0,6,1,4,145.60000000000002,"Night Game, on grass",Miami Marlins,2,7,3,19, Marlins Park,22333
San Diego Padres,2,14,6,4,252.0,"Night Game, on grass",Los Angeles Dodgers,1,14,10,19, Dodger Stadium,43588
Seattle Mariners,0,7,3,4,185.60000000000002,"Night Game, on grass",Kansas City Royals,1,6,2,19, Kauffman Stadium,33391
Oakland Athletics,0,14,9,4,226.4,"Night Game, on grass",Houston Astros,0,12,10,19, Minute Maid Park,31438
Philadelphia Phillies,0,7,5,4,237.6,"Night Game, on grass",Colorado Rockies,2,12,3,18, Coors Field,42335
New York Yankees,0,7,2,4,177.6,"Night Game, on grass",Cleveland Indians,0,9,10,19, Progressive Field,34045
Atlanta Braves,2,15,11,4,207.2,"Night Game, on grass",Chicago White Sox,1,13,8,19, U.S. Cellular Field,26199
Tampa Bay Rays,0,10,5,4,212.0,"Night Game, on grass",Boston Red Sox,0,11,6,19, Fenway Park,37739
Los Angeles Angels of Anaheim,2,10,9,4,223.2,"Night Game, on grass",Baltimore Orioles,2,9,5,19, Oriole Park at Camden Yards,44317
Detroit Tigers,1,8,4,3,208.8,"Night Game, on turf",Toronto Blue Jays,0,12,5,19, Rogers Centre,46283
Minnesota Twins,0,18,10,3,239.20000000000002,"Night Game, on grass",Texas Rangers,0,4,1,19, Globe Life Park in Arlington,43934
Los Angeles Angels of Anaheim,0,8,5,3,181.6,"Day Game, on turf",Tampa Bay Rays,1,5,1,12, Tropicana Field,14576
Pittsburgh Pirates,0,6,1,3,187.2,"Day Game, on grass",St. Louis Cardinals,0,6,5,13, Busch Stadium III,42144
Washington Nationals,0,12,7,3,242.4,"Night Game, on grass",New York Mets,1,15,9,19, Citi Field,37569
San Diego Padres,0,10,6,3,192.0,"Night Game, on grass",Los Angeles Dodgers,1,2,0,19, Dodger Stadium,44759
Seattle Mariners,0,9,3,3,179.20000000000002,"Night Game, on grass",Kansas City Royals,0,9,4,19, Kauffman Stadium,31425
Oakland Athletics,0,4,3,3,171.2,"Night Game, on grass",Houston Astros,1,3,1,19, Minute Maid Park,20933
Philadelphia Phillies,0,9,2,3,204.79999999999998,"Night Game, on grass",Colorado Rockies,0,14,11,18, Coors Field,35250
New York Yankees,0,11,5,3,180.0,"Night Game, on grass",Cleveland Indians,0,7,4,19, Progressive Field,23848
Atlanta Braves,0,6,4,3,266.4,"Night Game, on grass",Chicago Cubs,0,8,3,20, Wrigley Field,41480
Milwaukee Brewers,0,8,4,2,195.20000000000002,"Day Game, on grass",Washington Nationals,1,10,7,16, Nationals Park,26330
Kansas City Royals,0,4,2,2,145.60000000000002,"Night Game, on turf",Toronto Blue Jays,0,8,4,19, Rogers Centre,39971
Los Angeles Angels of Anaheim,0,9,7,2,208.8,"Night Game, on turf",Tampa Bay Rays,3,9,2,19, Tropicana Field,11267
Pittsburgh Pirates,0,9,7,2,213.6,"Night Game, on grass",St. Louis Cardinals,1,12,5,19, Busch Stadium III,42693
Colorado Rockies,0,5,1,2,169.6,"Night Game, on grass",San Francisco Giants,0,9,5,19, AT&T Park,42076
Atlanta Braves,0,7,3,2,206.4,"Day Game, on grass",Philadelphia Phillies,2,9,4,13, Citizens Bank Park,19211
Miami Marlins,1,7,2,2,184.0,"Day Game, on grass",New York Mets,0,6,4,13, Citi Field,26191
Colorado Rockies,1,13,7,1,234.39999999999998,"Night Game, on grass",San Francisco Giants,0,6,3,19, AT&T Park,41753
Atlanta Braves,1,6,1,1,132.8,"Night Game, on grass",Philadelphia Phillies,0,8,5,19, Citizens Bank Park,18426
Miami Marlins,0,9,5,1,172.8,"Night Game, on grass",New York Mets,0,4,2,19, Citi Field,29477
Oakland Athletics,0,8,4,1,192.8,"Night Game, on grass",Minnesota Twins,1,12,11,21, Target Field,16938
Baltimore Orioles,0,9,4,1,207.2,"Night Game, on grass",Los Angeles Dodgers,1,6,1,19, Dodger Stadium,45373
Seattle Mariners,1,7,2,1,174.39999999999998,"Night Game, on grass",Houston Astros,1,7,5,19, Minute Maid Park,21553
Detroit Tigers,0,4,1,1,188.0,"Night Game, on grass",Cleveland Indians,0,13,12,19, Progressive Field,19448
Cincinnati Reds,0,10,9,1,192.8,"Day Game, on grass",Chicago Cubs,2,7,5,13, Wrigley Field,41310
New York Yankees,0,20,9,1,191.2,"Night Game, on grass",Chicago White Sox,2,6,0,19, U.S. Cellular Field,20773
Texas Rangers,0,11,7,1,213.6,"Night Game, on grass",Boston Red Sox,0,11,2,19, Fenway Park,35964
San Diego Padres,0,12,5,1,203.2,"Night Game, on grass",Arizona Diamondbacks,0,10,7,18, Chase Field,14110
Milwaukee Brewers,1,5,1,0,181.6,"Day Game, on grass",Washington Nationals,1,2,0,11, Nationals Park,29174
Kansas City Royals,0,4,2,0,136.0,"Night Game, on turf",Toronto Blue Jays,0,6,6,19, Rogers Centre,36438
Los Angeles Angels of Anaheim,0,8,2,0,199.20000000000002,"Day Game, on turf",Tampa Bay Rays,1,7,4,13, Tropicana Field,14532
Pittsburgh Pirates,0,11,4,0,206.4,"Day Game, on grass",St. Louis Cardinals,1,10,2,14, Busch Stadium III,41850
Colorado Rockies,1,6,1,0,209.6,"Day Game, on grass",San Francisco Giants,0,5,3,13, AT&T Park,41874
Atlanta Braves,1,6,2,0,163.2,"Day Game, on grass",Philadelphia Phillies,1,12,8,16, Citizens Bank Park,19064
Miami Marlins,0,17,6,0,240.79999999999998,"Day Game, on grass",New York Mets,2,13,8,16, Citi Field,30424
Oakland Athletics,0,7,3,0,200.0,"Day Game, on grass",Minnesota Twins,1,4,1,13, Target Field,23100
Baltimore Orioles,0,8,5,0,199.20000000000002,"Night Game, on grass",Los Angeles Dodgers,0,9,7,18, Dodger Stadium,47378
Seattle Mariners,0,5,1,0,161.6,"Day Game, on grass",Houston Astros,0,8,2,13, Minute Maid Park,29844
Detroit Tigers,0,9,3,0,212.0,"Night Game, on grass",Cleveland Indians,0,8,5,21, Progressive Field,34163
Cincinnati Reds,2,9,4,0,181.6,"Day Game, on grass",Chicago Cubs,1,12,10,13, Wrigley Field,41293
New York Yankees,3,8,2,0,189.6,"Day Game, on grass",Chicago White Sox,4,13,8,13, U.S. Cellular Field,30955
Texas Rangers,0,16,5,0,244.0,"Day Game, on grass",Boston Red Sox,2,21,12,13, Fenway Park,36253
San Diego Padres,1,9,8,0,220.0,"Night Game, on grass",Arizona Diamondbacks,0,11,4,18, Chase Field,39203
Cincinnati Reds,0,3,1,6,192.8,"Day Game, on grass",Washington Nationals,0,15,12,13, Nationals Park,37328
Cleveland Indians,2,5,1,6,196.0,"Day Game, on turf",Toronto Blue Jays,0,18,17,13, Rogers Centre,45962
Detroit Tigers,0,8,5,6,197.6,"Day Game, on turf",Tampa Bay Rays,0,6,1,13, Tropicana Field,13126
Milwaukee Brewers,1,16,8,6,256.8,"Day Game, on grass",St. Louis Cardinals,0,11,9,14, Busch Stadium III,41148
